Identifiant;Nom Etablissement;Numéro Siret;Adresse;Code Postal;Commune;Departement;Region;coordonnées_x;coordonnées_y;Code APE;Libellé APE;Code Eprtr;Libelle Eprtr;coordonnees
105.00275;Gaby Guérin SAS;34188546500029;ZAC les Vollons;42160;ANDREZIEUX-BOUTHEON;LOIRE;RHONE-ALPES;750170;2060374;3832Z;Récupération de déchets triés;;;45.527252135, 4.25878497223
063.01068;CENTRALE BEAULIEU MALAKOFF;55204695501132;;44300;NANTES;LOIRE-ATLANTIQUE;PAYS-DE-LA-LOIRE;305623;2253381;3530Z;Production et distribution de vapeur et d'air conditionné;;;47.2146323613, -1.55152505706
061.04639;AD PLATING;50404481900028;ZI des Valignons -  97 Impasse des acacias;74460;MARNAZ;HAUTE-SAVOIE;RHONE-ALPES;924074;2127667;2561Z;Traitement et revêtement des métaux;2.(f);Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3;46.0714502919, 6.52765384196
061.04734;Frank-et-Pignard - site des Pochons -;60562053300022;294 -  promenade de l'Arve  ZI des Pochons   BP95;74311;THYEZ;HAUTE-SAVOIE;RHONE-ALPES;924774.35;2128157.46;2562A;Décolletage;;;46.0755205032, 6.53703256543
061.04769;SGL CARBON SAS- Usine de CHEDDE;38970414900027;131 Place Aristide Bergès;74190;PASSY;HAUTE-SAVOIE;RHONE-ALPES;940500;2112407;2399Z;Fabrication d'autres produits minéraux non métalliques n.c.a.;9.(d);Installations destinées à la fabrication de carbone (charbon dur) ou d'électrographite par combustion ou graphitisation;45.9262978432, 6.72863727833
061.07304;Metalor Technologies (France) SAS - Site d'Oullins;80632022200052;11 -  rue Louis Aulagne;69600;OULLINS;RHONE;RHONE-ALPES;791711;2081889;2733Z;Fabrication de matériel d'installation électrique;;;45.7103182151, 4.7988398481
061.08836;Loire Industrie;71450049300024;"2 -  rue Michel Rondet  ZI ""Le Clos Marquet""  BP47";42406;SAINT-CHAMOND;LOIRE;RHONE-ALPES;770195;2055024;2420Z;Fabrication de tubes -  tuyaux -  profilés creux et accessoires correspondants en acier;;;45.4744430417, 4.51309425318
061.09972;POPPE+POTTHOFF BONNEVILLE SAS;60702026000016;106 RUE DU BOUCHET;74130;AYSE;HAUTE-SAVOIE;RHONE-ALPES;915869.13;2127916.41;2562A;Décolletage;;;46.0775752729, 6.42190461737
86034754;SCEA le Rivault;41059942700011;Le Rivault;86410;BOURESSE;VIENNE;POITOU-CHARENTES;467042;2152596;0146Z;Élevage de porcins;7.(a).(iii);disposant de 750 emplacements pour truies;46.3603056318, 0.608602395192
061.10317;thyssenkrupp materials france;56206815500174;ZI DE LA PRAZ.;74130;VOUGY;HAUTE-SAVOIE;RHONE-ALPES;919033.63;2126845.93;4672Z;Commerce de gros (commerce interentreprises) de minerais et métaux;;;46.0664711488, 6.4620326984
