nom,codeCommune,nomCommune,cp,designationAPE,designationEPRTR
G.E.D.O. Groupement des enrobeurs de l'oise,60369,Longueil-Sainte-Marie,60126,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
FAURECIA INTERIEUR INDUSTRIE,60395,Méru,60114,Fabrication de pièces techniques à base de matières plastiques,,
URANIE INTERNATIONAL,60338,Lacroix-Saint-Ouen,60618,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
PLACOPLATRE,60402,Le Meux,60880,Fabrication d'éléments en matières plastiques pour la construction,,
Unilever France HPC industrie,60402,Le Meux,60880,Commerce de gros (commerce interentreprises) alimentaire spécialisé divers,,
Akzo Nobel Decorative Paints France SA,60414,Montataire,60761,"Fabrication de peintures, vernis, encres et mastics",,
ArcelorMittal Atlantique et Lorraine,60414,Montataire,60761,Sidérurgie,2.(c).(iii),par application de couches protectrices de métal en fusion avec une capacité de traitement de 2 tonnes d'acier brut par heure
AXIMUM PRODUITS DE MARQUAGE,60471,Noyon,60401,"Fabrication de peintures, vernis, encres et mastics",,
MAJENCIA noyon,60471,Noyon,60400,Fabrication de meubles de bureau et de magasin,,
SYNTHENE,60509,Pont-Sainte-Maxence,60723,Fabrication de matières plastiques de base,,
Hüttenes-Albertus France,60509,Pont-Sainte-Maxence,60723,Fabrication d'autres produits chimiques n.c.a.,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
BOSTIK Usine de Ribécourt,60537,Ribécourt-Dreslincourt,60170,Fabrication de colles,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
Synthos Ribécourt,60537,Ribécourt-Dreslincourt,60170,Fabrication de matières plastiques de base,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
NORCHIM,60584,Saint-Leu-d'Esserent,60340,Fabrication de produits pharmaceutiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
CAMFIL SASU,60509,Pont-Sainte-Maxence,60722,Fabrication d'équipements aérauliques et frigorifiques industriels,,
SUN CHEMICAL,60636,Thourotte,60150,"Fabrication de peintures, vernis, encres et mastics",,
SAINT GOBAIN GLASS FRANCE,60636,Thourotte,60777,Fabrication de verre plat,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
OLEON,60159,Compiègne,60206,Fabrication d'autres produits chimiques n.c.a.,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
ARKEMA,60539,Rieux,60872,Fabrication de matières plastiques de base,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes"
Verescence Somme,80001,Abbeville,80100,Fabrication de verre creux,,
Eurosérum,80013,Airaines,80270,Fabrication d'autres produits laitiers,8.(c),Traitement et transformation du lait d'une capacité de traitement de 200 tonnes de lait par jour (valeur moyenne sur une base annuelle)
AJINOMOTO EUROLYSINE S.A.S.,80021,Amiens,80084,Fabrication d'autres produits chimiques organiques de base,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
Goodyear Dunlop Tires Amiens Sud,80021,Amiens,80084,Fabrication et rechapage de pneumatiques,,
Procter et Gamble Amiens SAS,80021,Amiens,80082,"Fabrication de savons, détergents et produits d'entretien",,
VALEO EMBRAYAGES SAS,80021,Amiens,80009,Fabrication d'autres équipements automobiles,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
MERSEN France AMIENS SAS,80021,Amiens,80084,Fabrication d'autres matériels électriques,9.(d),Installations destinées à la fabrication de carbone (charbon dur) ou d'électrographite par combustion ou graphitisation
WHIRLPOOL,80021,Amiens,80000,Fabrication d'appareils électroménagers,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
PLASTIC OMNIUM,80021,Amiens,80088,Fabrication de pièces techniques à base de matières plastiques,1.(e),Broyeurs à charbon d'une capacité d'une tonne heure
NESTLE PURINA PETCARE France S.A.S.,80036,Aubigny,80800,Fabrication d'aliments pour animaux de compagnie,8.(b).(i),matières premières animales (autres que le lait) d'une capacité de production de produits finis de 75 tonnes par jour
FONDERIE LECLERCQ SAS,80613,Oust-Marest,80460,Fonderie d'autres métaux non ferreux,,
SFG,80086,Bernaville,80370,Fabrication de pièces techniques à base de matières plastiques,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Lainière de Picardie BC,80150,Buire-Courcelles,80202,Fabrication d'autres textiles techniques et industriels,9.(a),"Usines destinées au prétraitement (opérations de lavage, de blanchiment, de mercerisation) ou à la teinture de fibres ou de textiles d'une capacité de traitement de 10 tonnes par jour"
DS Smith Packaging Contoire Hamel,80209,Contoire,80500,Fabrication de carton ondulé,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
ACIA AUTOMOTIVE,80253,Doullens,80600,Fabrication d'autres produits chimiques n.c.a.,,
SAINT LOUIS SUCRE,80274,Eppeville,80400,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
SAINT FRERES,80318,Flixecourt,80420,Fabrication d'autres textiles techniques et industriels,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
Aluminium France Extrusion,80410,Ham,80400,Métallurgie de l'aluminium,2.(e).(i),"destinées à la production de métaux bruts non ferreux à partir de minerais, de concentrés ou de matières premières secondaires par procédés métallurgiques, chimiques ou électrolytiques"
EVONIK REXIM,80410,Ham,80400,Fabrication d'autres produits chimiques organiques de base,,
SPCH,80417,Harbonnières,80131,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,4.(b).(iii),"bases telles que hydroxyde d'ammonium, hydroxyde de potassium, hydroxyde de sodium"
PROSPA SAS - USINE DE LONGPRE LES CORPS SAINTS,80488,Longpré-les-Corps-Saints,80510,"Fabrication de peintures, vernis, encres et mastics",,
STELIA Aerospace - Etablissement de MEAULTE,80016,Albert,80302,Construction aéronautique et spatiale,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Bonduelle Europe Long Life Estrées,80620,Péronne,80203,Autre transformation et conservation de légumes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
AMCOR FLEXIBLES FOOD FRANCE,80570,Moreuil,80110,Fabrication d'emballages en matières plastiques,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
PPG AC France,80570,Moreuil,80110,"Fabrication de peintures, vernis, encres et mastics",,
SA UGEPA,80570,Moreuil,80110,Fabrication de papiers peints,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
Tereos Starch & Sweeteners Europe SAS,80542,Mesnil-Saint-Nicaise,80190,Fabrication de produits amylacés,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
SITPA,80680,Rosières-en-Santerre,80170,Transformation et conservation de pommes de terre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
ROYE sucrerie et conditionnement,80685,Roye,80700,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
Usine de Gamaches,80373,Gamaches,80220,Fabrication de verre creux,,
ROQUETTE FRERES - usine de VECQUEMONT,80785,Vecquemont,80800,Fabrication de produits amylacés,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
RKW SFE SAS,80795,Ville-le-Marclet,80420,Fabrication d'emballages en matières plastiques,9.(c),"Installations destinées au traitement de surface de matières, d'objets ou de produits à l'aide de solvants organiques, notamment pour les opérations d'apprêt, d'impression, de revêtement, de dégraissage, d'imperméabilisation, de collage, de peinture, de nettoyage ou d'imprégnation d'une capacité de consommation de 150 kg par heures ou 200 tonnes par an"
"Cristal Union, établissement de Sainte Emilie",80802,Villers-Faucon,80240,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
IMERYS-TC (IMERYS-TOITURE),60577,Saint-Germer-de-Fly,60850,"Fabrication de briques, tuiles et produits de construction, en terre cuite",3.(g),"Installations destinées à la fabrication de produits céramiques par cuisson, notamment de tuiles, de briques (simples ou réfractaires), de carrelages, de grès ou de porcelaines d'une capacité de production de 75 tonnes par jour, ou d'une capacité de four de 4 m3 et d'une densité d'enfournement de 300 kg/m3 par four"
FLINT GROUP France sas,60157,Clermont,60676,"Fabrication de peintures, vernis, encres et mastics",,
ECOVALOR,60509,Pont-Sainte-Maxence,60700,Récupération de déchets triés,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
EBERSPAECHER SYSTEMES D'ECHAPPEMENT,02684,Saint-Michel,02830,Fabrication d'autres équipements automobiles,,
MATT,02160,Chaourse,02340,Fabrication de pièces techniques à base de matières plastiques,4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
FRONERI BEAUVAIS,60057,Beauvais,60000,Fabrication de glaces et sorbets,,
POLYREY,24023,Baneuil,24150,"Fabrication de plaques, feuilles, tubes et profilés en matières plastiques",4.(a).(viii),"matières plastiques de base (polymères, fibres synthétiques, fibres à base de cellulose)"
EURENCO BERGERAC,24037,Bergerac,24108,Fabrication de produits explosifs,4.(f),Installations destinées à la fabrication industrielle d'explosifs et de produits pyrotechniques
BERKEM,24194,Gardonne,24680,Fabrication d'autres produits chimiques n.c.a.,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes"
CONDAT SAS,24229,Le Lardin-Saint-Lazare,24570,Fabrication de papier et de carton,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
INTERSPRAY,24309,Neuvic,24190,Fabrication de parfums et de produits pour la toilette,,
SANOFI,33096,Carbon-Blanc,33565,Fabrication de préparations pharmaceutiques,,
EDF CPE Site d'Ambès,33004,Ambès,33810,Production d'électricité,,
ORION ENGENEERED CARBONS SAS,33004,Ambès,33810,Fabrication d'autres produits chimiques inorganiques de base n.c.a.,1.(a),Raffineries de pétrole et de gaz
SIAP PROCINER,33096,Carbon-Blanc,33565,Traitement et élimination des déchets dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
SAIPOL,33032,Bassens,33530,Fabrication d'huiles et graisses raffinées,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
ASTRIA,33039,Bègles,33323,Traitement et élimination des déchets non dangereux,5.(b),Installations destinées à l'incinération des déchets non dangereux dans le cadre de la directive 2000/76/CE du Parlement européen et du Conseil du 4 décembre 2000 sur l'incinération des déchets d'une capacité de 3 tonnes par heure
SAFT,33063,Bordeaux,33074,Fabrication de piles et d'accumulateurs électriques,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
ARIANEGROUP site du Haillan,33200,Le Haillan,33185,Construction aéronautique et spatiale,,
L'ELECTROLYSE S.A.S,33234,Latresne,33360,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
SINIAT Usine de Saint-Loubès,33433,Saint-Loubès,33450,Fabrication d'éléments en plâtre pour la construction,3.(c).(iii),de clinker (ciment) ou de chaux dans d'autres types de fours d'une capacité de production de 50 tonnes par jour
ROXEL Etablissement Sud,33449,Saint-Médard-en-Jalles,33167,Fabrication d'armes et de munitions,4.(f),Installations destinées à la fabrication industrielle d'explosifs et de produits pyrotechniques
ArianeGroup Saint Médard,33449,Saint-Médard-en-Jalles,33167,Fabrication de produits explosifs,4.(f),Installations destinées à la fabrication industrielle d'explosifs et de produits pyrotechniques
O-I Manufactruing France Vayres,33539,Vayres,33870,Fabrication de verre creux,3.(e),"Installations destinées à la fabrication du verre, y compris de fibres de verre d'une capacité de fusion de 20 tonnes par jour"
SERETRAM,40132,Labatut,40300,Autre transformation et conservation de légumes,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
NP ROL PIN,40134,Labouheyre,40210,Fabrication de placage et de panneaux de bois,,
Les Dérivés Résiniques et Terpéniques,40152,Lesperon,40260,Fabrication d'autres produits chimiques organiques de base,,
DARBO SAS,40155,Linxe,40260,Fabrication de placage et de panneaux de bois,6.(b),"Installations industrielles destinées à la fabrication de papier et de carton et d'autres produits dérivés du bois (tels que l'aggloméré, les panneaux de fibres de bois et le contreplaqué) d'une capacité de production de 20 tonnes par jour"
INERTAM,40197,Morcenx,40110,Traitement et élimination des déchets dangereux,5.(a),Installations pour la valorisation ou l'élimination des déchets dangereux recevant 10 tonnes par jour
Chemviron - Usine de Parentis,40217,Parentis-en-Born,40160,Fabrication d'autres produits chimiques n.c.a.,,
Dépôt de parentis,40217,Parentis-en-Born,40160,Extraction de pétrole brut,,
GALVALANDES,40288,Sarbazan,40120,Traitement et revêtement des métaux,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
BIOLANDES TECHNOLOGIES,40297,Le Sen,40420,Activités des sociétés holding,,
Timac AGRO,40312,Tarnos,40220,Fabrication de produits azotés et d'engrais,4.(c),"Installations chimiques destinées à la production industrielle d'engrais à base de phosphore, d'azote ou de potassium (engrais simples ou composés)"
RAYONIER A.M. TARTAS SAS,40313,Tartas,40400,Fabrication de pâte à papier,6.(a),Installations industrielles destinées à la fabrication de pâte à papier à partir du bois ou d'autres matières fibreuses
DRT,40326,Vielle-Saint-Girons,40560,Fabrication d'autres produits chimiques organiques de base,4.(a).(ii),"hydrocarbures oxygénés, notamment les alcools, aldéhydes, cétones, acides carboxyliques, esters, acétates, éthers, peroxydes, résines époxydes"
EUTICALS SAS,47032,Bon-Encontre,47240,Fabrication d'autres produits chimiques organiques de base,4.(e),Installations utilisant un procédé chimique ou biologique pour la fabrication industrielle de produits pharmaceutiques de base
EUTICALS SAS,47310,Tonneins,47400,Fabrication d'autres produits chimiques organiques de base,,
TORAY CARBON FIBERS EUROPE,64003,Abidos,64150,Fabrication d'autres produits minéraux non métalliques n.c.a.,,
DASSAULT AVIATION Etablissement de Biarritz,64024,Anglet,64600,Construction aéronautique et spatiale,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
VENTANA ARUDY,64062,Arudy,64260,Fonderie de métaux légers,,
CELSA FRANCE- ACIERIE ATLANTIQUE,64140,Boucau,64340,Sidérurgie,2.(b),"Installations pour la production de fonte ou d'acier (de première ou de seconde fusion), notamment en coulée continue d'une capacité de 2,5 tonnes par heure"
TOTAL E&P France - Usine de Lacq,64300,Lacq,64170,Production de combustibles gazeux,1.(b),Installations de gazéification et de liquéfaction
SOBEGI - Site de Mourenx,64410,Mourenx,64150,Production et distribution de vapeur et d'air conditionné,,
PCC France,64421,Ogeu-les-Bains,64680,Fonderie d'autres métaux non ferreux,,
Centrale de Cogénération,33032,Bassens,33530,Production d'électricité,,
Centrale de Cogénération PERIGORD ENERGIES,24229,Le Lardin-Saint-Lazare,24570,Production et distribution de vapeur et d'air conditionné,1.(c),Centrales thermiques et autres installations de combustion avec un apport thermiques de 50 MW
CEPB,64256,Hasparren,64240,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
TIGF,32155,Le Houga,32460,Distribution de combustibles gazeux par conduites,1.(b),Installations de gazéification et de liquéfaction
ATEMAX France - Usine de St Langis,61414,Saint-Langis-lès-Mortagne,61400,Récupération de déchets triés,5.(e),Installations destinées à l'élimination ou à la valorisation de carcasses et de déchets d'animaux d'une capacité de traitement de 10 tonnes par jour
Renault Trucks Blainville,14076,Blainville-sur-Orne,14550,Construction de véhicules automobiles,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
Saint Louis Sucre Site de Cagny,14119,Cagny,14630,Fabrication de sucre,8.(b).(ii),matières premières végétales d'une capacité de production de produits finis de 300 tonnes par jour (valeur moyenne sur une base trimestrielle)
PSA PEUGEOT CITROEN SITE DE CAEN,14181,Cormelles-le-Royal,14123,Fabrication d'autres équipements automobiles,2.(f),Installations de traitement de surface de métaux et des matières plastiques utilisant un procédé électrolytique ou chimique lorsque le volume des cuves affectées au traitement est égal à 30 m3
CIMENTS CALCIA - Usine de Ranville,14530,Ranville,14860,Fabrication de ciment,3.(c).(i),de clinker (ciment) dans des fours rotatifs d'une capacité de production de 500 tonnes par jour
ISDND de Livry,14372,Livry,14240,Traitement et élimination des déchets non dangereux,5.(d),"Décharges, à l'exception des décharges de déchets inertes et des décharges qui ont été définitivement fermées avant le 16 juillet 2001 ou dont la phase de gestion après désaffection requise par les autorités compétentes conformément à l'article 13 de la directive 1999/31/CE du Conseil du 26 avril 1999 concernant la mise en décharge des déchets s'est achevée recevant 10 tonnes par jour ou d'une capacité totale de 25 000 tonnes"
AURYS,50099,Carentan,50500,Façonnage et transformation du verre plat,,
